date,description,amount,category,payment_method,notes,date_clean
2024-03-16,uber ride,500.0,Transport,credit card,,2024-03-16
2024-03-17,netflix,650.0,Entertainment,paypal,,2024-03-17
2024-03-18,uber eats,2300.0,Food,cash,,2024-03-18
2024-03-19,amazon,3400.0,Shopping,credit card,,2024-03-19
2024-03-20,mcdonalds,1200.0,Food,cash,,2024-03-20
2024-03-21,starbucks,750.0,Food,credit card,,2024-03-21
2024-03-22,uber ride,500.0,Transport,credit card,,2024-03-22
2024-03-23,netflix,650.0,Entertainment,paypal,,2024-03-23
2024-03-24,uber eats,2300.0,Food,cash,,2024-03-24
2024-03-25,amazon,4500.0,Shopping,credit card,,2024-03-25
2024-03-26,mcdonalds,1200.0,Food,cash,,2024-03-26
2024-03-27,starbucks,750.0,Food,credit card,,2024-03-27
2024-03-28,uber ride,500.0,Transport,credit card,,2024-03-28
2024-03-29,netflix,650.0,Entertainment,paypal,,2024-03-29
2024-03-30,uber eats,2300.0,Food,cash,,2024-03-30
2024-03-31,amazon,5600.0,Shopping,credit card,,2024-03-31
2024-04-01,mcdonalds,1200.0,Food,cash,april fools,2024-04-01
2024-04-02,starbucks,750.0,Food,credit card,,2024-04-02
2024-04-03,uber ride,500.0,Transport,credit card,,2024-04-03
2024-04-04,netflix,650.0,Entertainment,paypal,,2024-04-04
2024-04-05,uber eats,2300.0,Food,cash,,2024-04-05
2024-04-06,amazon,3400.0,Shopping,credit card,,2024-04-06
2024-04-07,mcdonalds,1200.0,Food,cash,,2024-04-07
2024-04-08,starbucks,750.0,Food,credit card,,2024-04-08
2024-04-09,uber ride,500.0,Transport,credit card,,2024-04-09
2024-04-10,netflix,650.0,Entertainment,paypal,,2024-04-10
2024-04-11,uber,520.0,Transport,credit card,,2024-04-11
2024-04-12,local train,80.0,Transport,cash,,2024-04-12
2024-04-13,petrol pump,4200.0,Transport,credit card,,2024-04-13
2024-04-14,metro ride,120.0,Transport,upi,,2024-04-14
2024-04-15,uber,650.0,Transport,credit card,,2024-04-15
2024-04-16,bus ticket,60.0,Transport,cash,,2024-04-16
2024-04-17,car service,5500.0,Transport,credit card,,2024-04-17
2024-04-18,ride share,300.0,Transport,upi,,2024-04-18
2024-04-19,airport taxi,2500.0,Transport,credit card,,2024-04-19
2024-04-20,train ticket,900.0,Transport,credit card,,2024-04-20
2024-04-21,uber,700.0,Transport,credit card,,2024-04-21
2024-04-22,petrol pump,3800.0,Transport,credit card,,2024-04-22
2024-04-23,metro card recharge,500.0,Transport,upi,,2024-04-23
2024-04-24,bike fuel,900.0,Transport,cash,,2024-04-24
2024-04-25,uber,450.0,Transport,credit card,,2024-04-25
2024-04-26,car wash,300.0,Transport,cash,,2024-04-26
2024-04-27,amazon order,2400.0,Shopping,credit card,,2024-04-27
2024-04-28,clothing store,3200.0,Shopping,credit card,,2024-04-28
2024-04-29,electronics shop,12500.0,Shopping,credit card,,2024-04-29
2024-04-30,supermart,2100.0,Shopping,upi,,2024-04-30
2024-05-01,online shopping,1800.0,Shopping,paypal,,2024-05-01
2024-05-02,amazon return,1200.0,Shopping,credit card,,2024-05-02
2024-05-03,bookstore,900.0,Shopping,cash,,2024-05-03
2024-05-04,shoe store,4500.0,Shopping,credit card,,2024-05-04
2024-05-05,gadget store,8000.0,Shopping,credit card,,2024-05-05
2024-05-06,clothing sale,2700.0,Shopping,upi,,2024-05-06
2024-05-07,online order,1500.0,Shopping,paypal,,2024-05-07
2024-05-08,furniture shop,22000.0,Shopping,credit card,,2024-05-08
2024-05-09,cosmetics store,1300.0,Shopping,cash,,2024-05-09
2024-05-10,accessories shop,700.0,Shopping,upi,,2024-05-10
2024-05-11,amazon order,3100.0,Shopping,credit card,,2024-05-11
2024-05-12,discount store,950.0,Shopping,cash,,2024-05-12
2024-05-13,netflix,650.0,Entertainment,paypal,,2024-05-13
2024-05-14,spotify,300.0,Entertainment,upi,,2024-05-14
2024-05-15,movie ticket,1200.0,Entertainment,credit card,,2024-05-15
2024-05-16,cinema,900.0,Entertainment,cash,,2024-05-16
2024-05-17,netflix,650.0,Entertainment,paypal,,2024-05-17
2024-05-18,gaming,2000.0,Entertainment,credit card,,2024-05-18
2024-05-19,concert,5000.0,Entertainment,credit card,,2024-05-19
2024-05-20,streaming service,800.0,Entertainment,upi,,2024-05-20
2024-05-21,netflix,650.0,Entertainment,paypal,,2024-05-21
2024-05-22,movie ticket,1100.0,Entertainment,credit card,,2024-05-22
2024-05-23,theme park,3500.0,Entertainment,credit card,,2024-05-23
2024-05-24,gaming,1800.0,Entertainment,credit card,,2024-05-24
2024-05-25,spotify,300.0,Entertainment,upi,,2024-05-25
2024-05-26,cinema,950.0,Entertainment,cash,,2024-05-26
2024-05-27,netflix,650.0,Entertainment,paypal,,2024-05-27
2024-05-28,concert,4200.0,Entertainment,credit card,,2024-05-28
2024-05-29,arcade,700.0,Entertainment,cash,,2024-05-29
2024-05-30,streaming service,850.0,Entertainment,upi,,2024-05-30
01/02/2024,mcdonalds,1200.0,Food,cash,,2024-05-30
2024/01/06,walmart $ grocery,3400.0,Food, debit card,,2024-05-30
2024-13-40,uber eats,2300.0,Food,credit card,invalid date,2024-05-30
,spotify,500.0,Entertainment,,missing date,2024-05-30
2024.01.09,amazon return,-1200.0,Shopping,credit card,negative amount,2024-05-30
2024/02/06,amazon,2300.0,Shopping,credit card,,2024-05-30
,spotify,500.0,Entertainment,paypal,null date,2024-05-30
03/03/2024,starbucks,750.0,Food,credit card,,2024-05-30
