date,description,amount,category,payment_method,notes
2024-02-27,uber ride,500,Transport,credit card,
2024-02-28,netflix,650,Entertainment,paypal,
2024-02-29,uber eats,2300,Food,cash,leap year
2024-03-01,amazon,3400,Shopping,credit card,
2024-03-02,mcdonalds,1200,Food,cash,
03/03/2024,starbucks,750,Food,credit card,
2024-03-04,uber ride,500,Transport,credit card,
2024-03-05,netflix,650,Entertainment,paypal,
2024-03-06,uber eats,2300,Food,cash,
2024-03-07,amazon,4500,Shopping,credit card,
2024-03-08,mcdonalds,1200,Food,cash,
2024-03-09,starbucks,750,Food,credit card,
2024-03-10,uber ride,500,Transport,credit card,
2024-03-11,netflix,650,Entertainment,paypal,
2024-03-12,uber eats,2300,Food,cash,
2024-03-13,amazon,5600,Shopping,credit card,
2024-03-14,mcdonalds,1200,Food,cash,
2024-03-15,starbucks,750,Food,credit card,
2024-03-16,uber ride,500,Transport,credit card,
2024-03-17,netflix,650,Entertainment,paypal,
2024-03-18,uber eats,2300,Food,cash,
2024-03-19,amazon,3400,Shopping,credit card,
2024-03-20,mcdonalds,1200,Food,cash,
2024-03-21,starbucks,750,Food,credit card,
2024-03-22,uber ride,500,Transport,credit card,
2024-03-23,netflix,650,Entertainment,paypal,
2024-03-24,uber eats,2300,Food,cash,
2024-03-25,amazon,4500,Shopping,credit card,
2024-03-26,mcdonalds,1200,Food,cash,
2024-03-27,starbucks,750,Food,credit card,
2024-03-28,uber ride,500,Transport,credit card,
2024-03-29,netflix,650,Entertainment,paypal,
2024-03-30,uber eats,2300,Food,cash,
2024-03-31,amazon,5600,Shopping,credit card,
2024-04-01,mcdonalds,1200,Food,cash,april fools
2024-04-02,starbucks,750,Food,credit card,
2024-04-03,uber ride,500,Transport,credit card,
2024-04-04,netflix,650,Entertainment,paypal,
2024-04-05,uber eats,2300,Food,cash,
2024-04-06,amazon,3400,Shopping,credit card,
2024-04-07,mcdonalds,1200,Food,cash,
2024-04-08,starbucks,750,Food,credit card,
2024-04-09,uber ride,500,Transport,credit card,
2024-04-10,netflix,650,Entertainment,paypal,
2024-04-11,uber,520,Transport,credit card,
2024-04-12,local train,80,Transport,cash,
2024-04-13,petrol pump,4200,Transport,credit card,
2024-04-14,metro ride,120,Transport,upi,
2024-04-15,uber,650,Transport,credit card,
2024-04-16,bus ticket,60,Transport,cash,
2024-04-17,car service,5500,Transport,credit card,
2024-04-18,ride share,300,Transport,upi,
2024-04-19,airport taxi,2500,Transport,credit card,
2024-04-20,train ticket,900,Transport,credit card,
2024-04-21,uber,700,Transport,credit card,
2024-04-22,petrol pump,3800,Transport,credit card,
2024-04-23,metro card recharge,500,Transport,upi,
2024-04-24,bike fuel,900,Transport,cash,
2024-04-25,uber,450,Transport,credit card,
2024-04-26,car wash,300,Transport,cash,
2024-04-27,amazon order,2400,Shopping,credit card,
2024-04-28,clothing store,3200,Shopping,credit card,
2024-04-29,electronics shop,12500,Shopping,credit card,
2024-04-30,supermart,2100,Shopping,upi,
2024-05-01,online shopping,1800,Shopping,paypal,
2024-05-02,amazon return,1200,Shopping,credit card,
2024-05-03,bookstore,900,Shopping,cash,
2024-05-04,shoe store,4500,Shopping,credit card,
2024-05-05,gadget store,8000,Shopping,credit card,
2024-05-06,clothing sale,2700,Shopping,upi,
2024-05-07,online order,1500,Shopping,paypal,
2024-05-08,furniture shop,22000,Shopping,credit card,
2024-05-09,cosmetics store,1300,Shopping,cash,
2024-05-10,accessories shop,700,Shopping,upi,
2024-05-11,amazon order,3100,Shopping,credit card,
2024-05-12,discount store,950,Shopping,cash,
2024-05-13,netflix,650,Entertainment,paypal,
2024-05-14,spotify,300,Entertainment,upi,
2024-05-15,movie ticket,1200,Entertainment,credit card,
2024-05-16,cinema,900,Entertainment,cash,
2024-05-17,netflix,650,Entertainment,paypal,
2024-05-18,gaming,2000,Entertainment,credit card,
2024-05-19,concert,5000,Entertainment,credit card,
2024-05-20,streaming service,800,Entertainment,upi,
2024-05-21,netflix,650,Entertainment,paypal,
2024-05-22,movie ticket,1100,Entertainment,credit card,
2024-05-23,theme park,3500,Entertainment,credit card,
2024-05-24,gaming,1800,Entertainment,credit card,
2024-05-25,spotify,300,Entertainment,upi,
2024-05-26,cinema,950,Entertainment,cash,
2024-05-27,netflix,650,Entertainment,paypal,
2024-05-28,concert,4200,Entertainment,credit card,
2024-05-29,arcade,700,Entertainment,cash,
2024-05-30,streaming service,850,Entertainment,upi,
